15,15,15,15,15,15,5,5,5,5,5,5,80,80,100
14.5,15,15,14.5,15,13,4.5,5,4.5,4.5,4.5,4.5,68.5,70.5,88
15,14,15,15,14.5,15,5,5,4.5,5,5,5,76.5,78,86.5
10,13.5,11,8.25,15,7.5,3.5,4.5,5,4.5,4.5,3.5,58.5,60.5,34
14.5,15,13,10.6,13,14,5,4.5,4.5,0,5,4.5,57.5,67,87.5
13.5,13,15,2.7,6.6,0,5,5,5,5,4,2.5,46,64,88
7.8,10.8,9.6,8.8,14.5,8,5,4,4,3.5,3,0,63,66,60.5
14.5,14.5,14.5,12.5,13.75,3,4.5,5,4,4.5,5,3.5,67,76,87.5
12.5,14.5,15,10,12,14,5,4.5,4,4.5,3.5,4,69,59,88
13,10.5,13.5,12.25,11.75,13,4,4,3.5,4,3,4.5,72,72,79
15,13,14,14.25,5.7,14.5,5,4.5,4.5,5,0,4.5,73.5,66,75.5
15,15,14.25,14.5,13.25,10.5,5,4,5,3.5,4,5,70,75,87.5
15,15,15,15,14.75,14,5,5,5,5,5,5,79,79.5,92
15,14,15,15,13.75,14.5,4.5,4,5,5,4.5,4.5,75,75,90
15,15,15,14,13.5,14.5,4.5,4.5,4.5,5,4,5,67,63,88.5
14.5,15,14,15,14.25,11.5,5,5,3,4.5,4.5,5,70,69,89
13,8.8,11.6,11.5,10.8,11,5,4,4,3,4.5,4,37.5,42.5,47.5
14,12,14,13.75,13,12.5,5,4,2.5,2.5,5,4,73,69.5,88
15,14,13.75,13.25,12.5,15,4.5,4,5,3.5,4,4.5,69,72,86
14.25,14.5,13.75,14.75,13.25,10.4,5,4.5,4.5,3,4.5,3,68,69,71
14.5,14,14.5,14.75,13.5,15,5,4.5,4,5,5,5,74.5,78,97
14.5,15,15,15,15,13.5,5,4,5,4.5,3,3.5,78.5,78.5,92.5
15,14,15,14.75,13.25,14,5,5,5,5,5,5,77,76.5,96
14.25,13.5,15,14.5,14.5,14,5,4,5,5,5,4.5,74.5,75.5,92.5
11.8,13.5,15,14.5,13.75,14,5,4.5,5,5,4,4,75.5,69.5,83.5
11.8,13.5,15,14.5,13.75,14,5,4.5,5,5,4,4,75.5,69.5,37.58
14.5,14.5,12,14.5,10.5,13.5,4.5,5,4,4.5,3,4,56,53,73.5
14.5,14,14.5,13.5,12.5,10.5,5,4.5,4.5,4.5,3,5,68,70,77.5
15,9.5,13.75,14,12.5,13,4,4,4,3.5,2.5,3,41,66,64.5
14.5,12.75,13,14.5,14,10,5,5,4.5,3.5,5,2.5,72.5,67.5,77
15,14.5,15,9.75,13,12.5,4.5,4.5,4.5,4.5,4.5,4,66.5,51.5,68.5
15,14.5,15,10.4,11,6,5,5,5,0,5,5,60,72,89
14.5,14.5,15,10,7.5,10.5,4.5,4.5,5,4,3.5,3.5,57,49.5,59
14.5,14,14.5,12.5,9.2,11.2,5,4.5,4,3,3,3.5,68.5,63,79
13,14.5,15,14.75,14.75,15,5,4.5,5,5,4.5,4.5,75,60.5,98
15,13.5,15,14.25,14,14,5,4.5,4.5,4,3.5,5,67.5,66,83.5
15,13.5,15,14.25,14,14,5,4.5,4.5,4,3.5,5,67.5,66,45.93
14.5,15,12.25,7.8,12.25,12,5,5,5,3.5,4,4.5,71,51,84
15,14.5,15,14.75,14.75,13,5,4.5,5,4.5,5,5,77.5,63.5,90.5
9,11.5,11.2,11,4.6,7.5,4,4,5,3.5,4,1,0,17.5,35.5
13.5,13.25,14,10.25,13,14,3.5,5,4,3,4.5,4.5,70,58,70
15,14.5,15,12.75,11,13,4,3.5,4.5,5,4.5,4.5,68.5,77,82
14.5,14.5,14.5,12,13.75,15,5,4.5,4,3.5,4,3.5,70,76,91.5
15,14.5,15,15,14.25,15,5,4.5,5,4,4.5,5,76.5,78.5,94.5
15,13.5,14.5,13.25,12.75,15,5,4.5,4.5,3.5,4.5,4.5,62,65.5,67
11.6,14.5,14,15,14.25,15,5,4.5,5,5,4.5,4.5,75,75,89
15,15,15,14.5,14.75,15,4.5,4.5,5,5,4,4,58,73,86.5
14,14.5,11.25,12,12,14,5,4,4.5,4,4,4.5,53,55.5,65
14,14,15,14.75,13.75,14,5,5,5,4.5,4,4.5,76.5,76,92.5
14.5,14,12.75,14.5,13.25,13.5,3.5,3,3.5,5,4.5,4.5,69,66,87
12,12,13,10.8,6,7,3,4,4,3,3,3.5,32,23.5,12
15,15,15,15,2.55,15,5,5,5,3.5,0,4.5,75.5,79,93.5
15,14.5,14.75,15,13,11,4.5,4.5,5,5,4.5,5,77,75,96.5
15,14,12.75,13.5,11,14,4.5,4.5,4,4,3.5,5,46,54.5,61.5
14,11.5,14.5,14.5,14,15,5,4.5,5,4.5,4.5,4,63,58.5,77.5
